Datetime,Open,High,Low,Close,Volume,Volume Ma,RSI_50,%K_60,%D_1,SMA_60,%K_240,SMA_240,%K_540,SMA_540,%K_1380,SMA_1380,%K_RSI_15,%D_RSI_1,%K_RSI_30,EMA_100,%K_above,%K_below,Within_5%,Price_Above_SMA,Price_Below_SMA,Buy,Sell,Entry_Ind,Exit_Ind
2024-01-31 01:00:00,2035.01,2035.8,2033.3,2034.235,18815,35179.15,,,,,,,,,,,,,,2034.235,0,0,0,0,0,0,0,0,0
2024-01-31 02:00:00,2034.31,2038.6,2033.6,2036.54,40051,35555.45,,,,,,,,,,,,,,2034.2806435643563,0,0,0,0,0,0,0,0,0
2024-01-31 03:00:00,2036.55,2040.44,2035.8,2039.026,49138,36384.1,,,,,,,,,,,,,,2034.3746110185273,0,0,0,0,0,0,0,0,0
2024-01-31 04:00:00,2039.14,2039.81,2037.5,2038.2,39703,35030.15,,,,,,,,,,,,,,2034.4503612953881,0,0,0,0,0,0,0,0,0
2024-01-31 05:00:00,2038.2,2038.58,2036.1,2036.87,32755,31943.15,,,,,,,,,,,,,,2034.498274933103,0,0,0,0,0,0,0,0,0
2024-01-31 06:00:00,2036.855,2038.95,2036.4,2037.253,29068,27311.05,,,,,,,,,,,,,,2034.5528239443286,0,0,0,0,0,0,0,0,0
2024-01-31 07:00:00,2037.252,2039.63,2036.7,2038.45,31015,25607.7,,,,,,,,,,,,,,2034.6299957474112,0,0,0,0,0,0,0,0,0
2024-01-31 08:00:00,2038.49,2043.2,2035.7,2041.93,85140,27689.3,,,,,,,,,,,,,,2034.7745502870664,0,0,0,0,0,0,0,0,0
2024-01-31 09:00:00,2041.93,2055.28,2040.4,2051.57,100164,30927.8,,,,,,,,,,,,,,2035.1071334496987,0,0,0,0,0,0,0,0,0
2024-01-31 10:00:00,2051.48,2055.98,2050.3,2052.26,108897,34697.25,,,,,,,,,,,,,,2035.446794173467,0,0,0,0,0,0,0,0,0
2024-01-31 11:00:00,2052.22,2053.65,2047.1,2049.96,81767,37440.25,,,,,,,,,,,,,,2035.7341843878537,0,0,0,0,0,0,0,0,0
2024-01-31 12:00:00,2049.96,2051.04,2048.8,2049.61,47824,39316.25,,,,,,,,,,,,,,2036.0089530138368,0,0,0,0,0,0,0,0,0
2024-01-31 13:00:00,2049.61,2049.8,2045.3,2046.345,44344,41533.3,,,,,,,,,,,,,,2036.2136272115827,0,0,0,0,0,0,0,0,0
2024-01-31 14:00:00,2046.245,2050.8,2039.07,2044.804,146483,48538.15,,,,,,,,,,,,,,2036.3837336034323,0,0,0,0,0,0,0,0,0
2024-01-31 15:00:00,2044.77,2045.91,2030.6,2034.785,119834,53648.6,,,,,,,,,,,,,,2036.3520755122752,0,0,0,0,0,0,0,0,0
2024-01-31 16:00:00,2034.753,2040.17,2033.1,2039.105,32546,53740.2,,,,,,,,,,,,,,2036.4065888684677,0,0,0,0,0,0,0,0,0
2024-01-31 17:00:00,2039.27,2039.4,2038.5,2038.6,5,52393.35,,,,,,,,,,,,,,2036.4500227522603,0,0,0,0,0,0,0,0,0
2024-01-31 18:00:00,2040.144,2041.35,2038.175,2039.94,12138,52330.95,,,,,,,,,,,,,,2036.5191312126117,0,0,0,0,0,0,0,0,0
2024-01-31 19:00:00,2039.826,2042.67,2038.8,2040.67,19998,52884.5,,,,,,,,,,,,,,2036.601326634144,0,0,0,0,0,0,0,0,0
2024-01-31 20:00:00,2040.673,2041.91,2039.7,2041.295,31237,53546.1,,,,,,,,,,,,,,2036.6942706611906,0,0,0,0,0,0,0,0,0
2024-01-31 21:00:00,2041.364,2049.55,2040.8,2046.97,33213,54266.0,,,,,,,,,,,,,,2036.8977504500779,0,0,0,0,0,0,0,0,0
2024-01-31 22:00:00,2046.97,2048.55,2045.1,2046.193,22294,53378.15,,,,,,,,,,,,,,2037.081814797601,0,0,0,0,0,0,0,0,0
2024-01-31 23:00:00,2046.186,2046.66,2044.6,2045.3,12686,51555.55,,,,,,,,,,,,,,2037.2445511382425,0,0,0,0,0,0,0,0,0
